product_id,product_name,category,price
101,Designer Anarkali Suit,Womenswear,4999.0
102,Linen Summer Dress,Womenswear,2499.0
103,High-Waisted Denim Jeans,Womenswear,1899.0
104,Floral Wrap Top,Womenswear,1299.0
105,Cotton Lounge Kaftan,Womenswear,999.0
106,Premium Cotton Blazer,Menswear,5999.0
107,Oxford Button-Down Shirt,Menswear,1799.0
108,Slim Fit Chino Trousers,Menswear,1999.0
109,Graphic Print Streetwear Hoodie,Menswear,2199.0
110,Pack of 3 Crewneck Tees,Menswear,1199.0
111,Handcrafted Leather Loafers,Footwear,3499.0
112,Classic White Sneakers,Footwear,2899.0
113,Casual Canvas Slip-Ons,Footwear,1499.0
114,Strappy Block Heels,Footwear,1999.0
115,Genuine Leather Crossbody Bag,Accessories,2499.0
116,Polarized Aviator Sunglasses,Accessories,1299.0
117,Minimalist Gold-Plated Neckpiece,Accessories,899.0
118,Textured Leather Belt,Accessories,999.0
